 X,Y,phi
-4.330301637,2.499705792,0
-4.208351633,2.496709436,9.64E-05
-4.086401628,2.493713079,1.85E-04
-4.269592456,2.60202554,0
-4.146333946,2.598459673,9.64E-05
-4.206266263,2.703206268,0
-4.002704934,2.99639003,0
-4.073029443,2.900068962,0
-4.140883219,2.802341041,0
-3.950394007,2.887655886,9.64E-05
-4.01948315,2.790631391,9.64E-05
-4.08610156,2.692200044,9.64E-05
-3.898083081,2.778921741,1.85E-04
-3.965936857,2.68119382,1.85E-04
-3.845772154,2.670187597,2.65E-04
-1.63469682,-4.725218049,0
-1.521810992,-4.762790137,0
-1.408666018,-4.797463919,0
-1.658666958,-4.604200474,9.59E-05
-1.545910702,-4.643221716,9.59E-05
-1.432895301,-4.679344651,9.60E-05
-1.570010412,-4.523653295,1.84E-04
-1.457124583,-4.561225383,1.84E-04
-1.481353866,-4.443106116,2.63E-04
-1.293335471,-4.82982296,0
-1.17805759,-4.859246001,0
-1.062832374,-4.885733041,0
-1.325995269,-4.710632933,9.61E-05
-1.210691055,-4.741523974,9.61E-05
-1.095439506,-4.769479014,9.61E-05
-1.243324519,-4.623801947,1.84E-04
-1.128046638,-4.653224988,1.84E-04
-1.16065377,-4.536970961,2.64E-04
-3.778746448,3.274305313,0
-3.855699573,3.183325577,0
-3.930352402,3.09068715,0
-3.734272464,3.162168952,9.64E-05
-3.810075441,3.07035987,9.64E-05
-3.883578121,2.976892096,9.65E-05
-3.68979848,3.05003259,1.85E-04
-3.764451309,2.957394162,1.85E-04
-3.645324497,2.937896228,2.65E-04
-3.535532546,3.535535266,0
-3.618710943,3.450351299,0
-3.699782244,3.363274648,0
-3.499103962,3.420555527,9.64E-05
-3.581228811,3.334425218,9.65E-05
-3.661246564,3.246402225,9.65E-05
-3.462675379,3.305575788,1.85E-04
-3.543746679,3.218499137,1.85E-04
-3.426246795,3.19059605,2.65E-04
-0.94537649,-4.9098021,0
-0.828290726,-4.93092678,0
-0.711575084,-4.949107081,0
-0.98660321,-4.793058543,9.62E-05
-0.869332386,-4.815655413,9.62E-05
-0.752431683,-4.835307904,9.62E-05
-0.910374046,-4.700384046,1.84E-04
-0.793288283,-4.721508726,1.84E-04
-0.834144882,-4.607709549,2.64E-04
-0.592590076,-4.964747423,0
-0.474296005,-4.977465326,0
-0.356692873,-4.987260791,0
-0.64218821,-4.851045898,9.64E-05
-0.523548671,-4.86522502,9.64E-05
-0.405600069,-4.876481704,9.64E-05
-0.572801336,-4.752984714,1.85E-04
-0.454507265,-4.765702618,1.85E-04
-0.503414462,-4.654923531,2.65E-04
-3.274302405,3.778748967,0
-3.3632718,3.699784833,0
-3.450348514,3.618713599,0
-3.246135368,3.661470027,9.65E-05
-3.334158422,3.581452343,9.65E-05
-3.420288795,3.499327559,9.65E-05
-3.217968331,3.544191086,1.85E-04
-3.305045044,3.463119852,1.85E-04
-3.189801294,3.426912146,2.65E-04
-2.99638695,4.00270724,0
-3.090684124,3.930354781,0
-3.183322609,3.855702024,0
-2.97667618,3.883692525,9.65E-05
-3.07014401,3.810189917,9.65E-05
-3.16195315,3.73438701,9.65E-05
-2.95696541,3.764677811,1.85E-04
-3.049603895,3.690025053,1.85E-04
-2.937254641,3.645663097,2.65E-04
-0.23678248,-4.994376868,0
-0.117884855,-4.998623271,0
0,-5,0
-0.294463871,-4.884311731,9.65E-05
-0.175059862,-4.889992972,9.65E-05
-0.056668622,-4.892804538,9.66E-05
-0.232234869,-4.781362672,1.85E-04
-0.113337244,-4.785609075,1.85E-04
-0.170005866,-4.678413613,2.65E-04
-2.703203031,4.206268343,0
-2.802337854,4.140885377,0
-2.900065827,4.073031675,0
-2.692091365,4.086088434,9.65E-05
-2.790522763,4.0194701,9.65E-05
-2.887547311,3.950381031,9.65E-05
-2.6809797,3.965908525,1.85E-04
-2.778707673,3.898054823,1.85E-04
-2.669868034,3.845728615,2.65E-04
-2.598445862,4.146206146,9.65E-05
-2.493688693,4.086143949,1.85E-04
-2.388931523,4.026081752,2.65E-04
-2.602022254,4.269594459,0
-2.496695576,4.208223755,9.65E-05
-2.391368897,4.146853052,1.85E-04
-2.499702459,4.330303561,0
-2.393806271,4.267624351,9.65E-05
-2.396243645,4.388395651,0
0.117885787,-4.998623249,0
0.236784358,-4.994376778,0
0.356695713,-4.987260588,0
0.054812058,-4.892743602,9.66E-05
0.173204237,-4.889931992,9.67E-05
0.2926092,-4.884250661,9.67E-05
0.109624116,-4.785487205,1.85E-04
0.228522687,-4.781240734,1.85E-04
0.164436174,-4.678230807,2.65E-04
-2.296100208,4.32088552,9.66E-05
-2.195956771,4.25337539,1.85E-04
-2.095813334,4.185865259,2.65E-04
-2.290710922,4.444388352,0
-2.190138935,4.375509326,9.66E-05
-2.089566948,4.3066303,1.85E-04
-2.184321099,4.497643263,0
-2.083320562,4.427395341,9.66E-05
-2.077074177,4.548160382,0
0.474297489,-4.977465184,0
0.592590187,-4.96474741,0
0.711573806,-4.949107265,0
0.403846099,-4.876322249,9.67E-05
0.521793336,-4.86506566,9.67E-05
0.640431494,-4.8508867,9.67E-05
0.450996485,-4.76538391,1.85E-04
0.569289183,-4.752666136,1.85E-04
0.498146871,-4.654445571,2.65E-04
-1.982043212,4.473553722,9.67E-05
-1.887012248,4.398947061,1.85E-04
-1.791981284,4.324340401,2.65E-04
-1.967719201,4.596521844,0
-1.872406678,4.520499222,9.67E-05
-1.777094155,4.4444766,1.85E-04
-1.857801108,4.642051383,0
-1.762207027,4.564612799,9.67E-05
-1.747319899,4.684748998,0
0.828287703,-4.930927287,0
0.945371714,-4.90980302,0
1.062825838,-4.885734462,0
0.750826476,-4.835101599,9.66E-05
0.86772543,-4.815449477,9.66E-05
0.984994498,-4.792853064,9.66E-05
0.790079147,-4.721095934,1.85E-04
0.907163158,-4.699971666,1.85E-04
0.829331817,-4.607090268,2.65E-04
-1.657866464,4.603455192,9.68E-05
-1.568413029,4.522161387,1.85E-04
-1.478959594,4.440867581,2.66E-04
-1.634693105,4.725219334,0
-1.5451101,4.642476372,9.68E-05
-1.455527094,4.559733411,1.85E-04
-1.52180717,4.762791358,0
-1.432094594,4.678599241,9.68E-05
-1.408662093,4.797465071,0
1.178051919,-4.859247376,0
1.293330671,-4.829824245,0
1.408662093,-4.797465071,0
1.09394744,-4.769252247,9.66E-05
1.209199856,-4.741297139,9.66E-05
1.324504944,-4.710405986,9.66E-05
1.125069042,-4.652770032,1.85E-04
1.240347794,-4.623346901,1.85E-04
1.156190644,-4.536287817,2.65E-04
-1.325223605,4.709928475,9.68E-05
-1.241785117,4.622391878,1.85E-04
-1.158346628,4.534855282,2.66E-04
-1.293330671,4.829824245,0
-1.209918518,4.740819627,9.68E-05
-1.126506365,4.651815009,1.85E-04
-1.178051919,4.859247376,0
-1.094666101,4.768774736,9.68E-05
-1.062825838,4.885734462,0
1.52180717,-4.762791358,0
1.634693105,-4.725219334,0
1.747319899,-4.684748998,0
1.431446678,-4.679079037,9.66E-05
1.544462184,-4.642956169,9.66E-05
1.657218548,-4.603934989,9.66E-05
1.454231263,-4.560693004,1.85E-04
1.567117198,-4.523120979,1.85E-04
1.477015848,-4.44230697,2.65E-04
-0.985805116,4.792415733,9.69E-05
-0.908784394,4.699097003,1.85E-04
