X,Y,plate.w,,,
-2.198053017,-4.254710664,-2.29E-07,,,
-2.091663236,-4.307965657,-2.29E-07,,,
-2.098956015,-4.187869093,-3.49E-07,,,
-1.967722739,-4.59652033,0,,,
-1.982936276,-4.474290645,-1.13E-07,,,
-1.873299778,-4.521236229,-1.13E-07,,,
-1.857804682,-4.642049953,0,,,
-1.76310016,-4.565349891,-1.14E-07,,,
-1.747323504,-4.684747653,0,,,
-1.888794875,-4.400422505,-2.30E-07,,,
-1.778876817,-4.445952128,-2.31E-07,,,
-1.794653474,-4.326554366,-3.51E-07,,,
-4.267752308,2.393820177,-1.07E-07,,,
-4.330301637,2.499705792,0,,,
-4.208351633,2.496709436,-1.07E-07,,,
-4.14711081,2.391393331,-2.18E-07,,,
-4.086401628,2.493713079,-2.19E-07,,,
-4.026469311,2.388966485,-3.35E-07,,,
-4.269592456,2.60202554,0,,,
-4.146333946,2.598459673,-1.07E-07,,,
-4.206266263,2.703206268,0,,,
-4.002704934,2.99639003,0,,,
-4.073029443,2.900068962,0,,,
-3.950394007,2.887655886,-1.08E-07,,,
-4.01948315,2.790631391,-1.08E-07,,,
-4.140883219,2.802341041,0,,,
-4.08610156,2.692200044,-1.07E-07,,,
-3.898083081,2.778921741,-2.20E-07,,,
-3.965936857,2.68119382,-2.20E-07,,,
-3.845772154,2.670187597,-3.37E-07,,,
-1.63469682,-4.725218049,0,,,
-1.658666958,-4.604200474,-1.14E-07,,,
-1.545910702,-4.643221716,-1.14E-07,,,
-1.521810992,-4.762790137,0,,,
-1.432895301,-4.679344651,-1.14E-07,,,
-1.408666018,-4.797463919,0,,,
-1.570010412,-4.523653295,-2.32E-07,,,
-1.457124583,-4.561225383,-2.32E-07,,,
-1.481353866,-4.443106116,-3.54E-07,,,
-1.293335471,-4.82982296,0,,,
-1.325995269,-4.710632933,-1.15E-07,,,
-1.210691055,-4.741523974,-1.15E-07,,,
-1.17805759,-4.859246001,0,,,
-1.095439506,-4.769479014,-1.15E-07,,,
-1.062832374,-4.885733041,0,,,
-1.243324519,-4.623801947,-2.33E-07,,,
-1.128046638,-4.653224988,-2.33E-07,,,
-1.16065377,-4.536970961,-3.55E-07,,,
-3.778746448,3.274305313,0,,,
-3.855699573,3.183325577,0,,,
-3.734272464,3.162168952,-1.09E-07,,,
-3.810075441,3.07035987,-1.08E-07,,,
-3.930352402,3.09068715,0,,,
-3.883578121,2.976892096,-1.08E-07,,,
-3.68979848,3.05003259,-2.22E-07,,,
-3.764451309,2.957394162,-2.21E-07,,,
-3.645324497,2.937896228,-3.39E-07,,,
-3.535532546,3.535535266,0,,,
-3.618710943,3.450351299,0,,,
-3.499103962,3.420555527,-1.10E-07,,,
-3.581228811,3.334425218,-1.09E-07,,,
-3.699782244,3.363274648,0,,,
-3.661246564,3.246402225,-1.09E-07,,,
-3.462675379,3.305575788,-2.23E-07,,,
-3.543746679,3.218499137,-2.23E-07,,,
-3.426246795,3.19059605,-3.41E-07,,,
-0.94537649,-4.9098021,0,,,
-0.98660321,-4.793058543,-1.15E-07,,,
-0.869332386,-4.815655413,-1.15E-07,,,
-0.828290726,-4.93092678,0,,,
-0.752431683,-4.835307904,-1.15E-07,,,
-0.711575084,-4.949107081,0,,,
-0.910374046,-4.700384046,-2.34E-07,,,
-0.793288283,-4.721508726,-2.34E-07,,,
-0.834144882,-4.607709549,-3.57E-07,,,
-0.592590076,-4.964747423,0,,,
-0.64218821,-4.851045898,-1.16E-07,,,
-0.523548671,-4.86522502,-1.16E-07,,,
-0.474296005,-4.977465326,0,,,
-0.405600069,-4.876481704,-1.16E-07,,,
-0.356692873,-4.987260791,0,,,
-0.572801336,-4.752984714,-2.35E-07,,,
-0.454507265,-4.765702618,-2.35E-07,,,
-0.503414462,-4.654923531,-3.58E-07,,,
-3.274302405,3.778748967,0,,,
-3.3632718,3.699784833,0,,,
-3.246135368,3.661470027,-1.10E-07,,,
-3.334158422,3.581452343,-1.10E-07,,,
-3.450348514,3.618713599,0,,,
-3.420288795,3.499327559,-1.10E-07,,,
-3.217968331,3.544191086,-2.25E-07,,,
-3.305045044,3.463119852,-2.24E-07,,,
-3.189801294,3.426912146,-3.44E-07,,,
-2.99638695,4.00270724,0,,,
-3.090684124,3.930354781,0,,,
-2.97667618,3.883692525,-1.11E-07,,,
-3.07014401,3.810189917,-1.11E-07,,,
-3.183322609,3.855702024,0,,,
-3.16195315,3.73438701,-1.11E-07,,,
-2.95696541,3.764677811,-2.27E-07,,,
-3.049603895,3.690025053,-2.26E-07,,,
-2.937254641,3.645663097,-3.46E-07,,,
-0.23678248,-4.994376868,0,,,
-0.294463871,-4.884311731,-1.16E-07,,,
-0.175059862,-4.889992972,-1.16E-07,,,
-0.117884855,-4.998623271,0,,,
-0.056668622,-4.892804538,-1.16E-07,,,
0,-5,0,,,
-0.232234869,-4.781362672,-2.36E-07,,,
-0.113337244,-4.785609075,-2.36E-07,,,
-0.170005866,-4.678413613,-3.59E-07,,,
-2.703203031,4.206268343,0,,,
-2.802337854,4.140885377,0,,,
-2.692091365,4.086088434,-1.12E-07,,,
-2.790522763,4.0194701,-1.12E-07,,,
-2.900065827,4.073031675,0,,,
-2.887547311,3.950381031,-1.12E-07,,,
-2.6809797,3.965908525,-2.28E-07,,,
-2.778707673,3.898054823,-2.28E-07,,,
-2.669868034,3.845728615,-3.48E-07,,,
-2.598445862,4.146206146,-1.13E-07,,,
-2.602022254,4.269594459,0,,,
-2.496695576,4.208223755,-1.13E-07,,,
-2.493688693,4.086143949,-2.29E-07,,,
-2.391368897,4.146853052,-2.30E-07,,,
-2.388931523,4.026081752,-3.51E-07,,,
-2.499702459,4.330303561,0,,,
-2.393806271,4.267624351,-1.13E-07,,,
-2.396243645,4.388395651,0,,,
0.117885787,-4.998623249,0,,,
0.054812058,-4.892743602,-1.16E-07,,,
0.173204237,-4.889931992,-1.16E-07,,,
0.236784358,-4.994376778,0,,,
0.2926092,-4.884250661,-1.16E-07,,,
0.356695713,-4.987260588,0,,,
0.109624116,-4.785487205,-2.36E-07,,,
0.228522687,-4.781240734,-2.36E-07,,,
0.164436174,-4.678230807,-3.60E-07,,,
-2.296100208,4.32088552,-1.13E-07,,,
-2.290710922,4.444388352,0,,,
-2.190138935,4.375509326,-1.14E-07,,,
-2.195956771,4.25337539,-2.31E-07,,,
-2.089566948,4.3066303,-2.32E-07,,,
-2.095813334,4.185865259,-3.53E-07,,,
-2.184321099,4.497643263,0,,,
-2.083320562,4.427395341,-1.14E-07,,,
-2.077074177,4.548160382,0,,,
0.474297489,-4.977465184,0,,,
0.403846099,-4.876322249,-1.16E-07,,,
0.521793336,-4.86506566,-1.16E-07,,,
0.592590187,-4.96474741,0,,,
0.640431494,-4.8508867,-1.16E-07,,,
0.711573806,-4.949107265,0,,,
0.450996485,-4.76538391,-2.36E-07,,,
0.569289183,-4.752666136,-2.36E-07,,,
0.498146871,-4.654445571,-3.60E-07,,,
-1.982043212,4.473553722,-1.14E-07,,,
-1.967719201,4.596521844,0,,,
-1.872406678,4.520499222,-1.14E-07,,,
-1.887012248,4.398947061,-2.33E-07,,,
-1.777094155,4.4444766,-2.33E-07,,,
-1.791981284,4.324340401,-3.55E-07,,,
-1.857801108,4.642051383,0,,,
-1.762207027,4.564612799,-1.15E-07,,,
-1.747319899,4.684748998,0,,,
0.828287703,-4.930927287,0,,,
0.750826476,-4.835101599,-1.16E-07,,,
0.86772543,-4.815449477,-1.16E-07,,,
0.945371714,-4.90980302,0,,,
0.984994498,-4.792853064,-1.16E-07,,,
1.062825838,-4.885734462,0,,,
0.790079147,-4.721095934,-2.35E-07,,,
0.907163158,-4.699971666,-2.35E-07,,,
0.829331817,-4.607090268,-3.59E-07,,,
-1.657866464,4.603455192,-1.15E-07,,,
-1.634693105,4.725219334,0,,,
-1.5451101,4.642476372,-1.15E-07,,,
-1.568413029,4.522161387,-2.34E-07,,,
-1.455527094,4.559733411,-2.34E-07,,,
-1.478959594,4.440867581,-3.57E-07,,,
-1.52180717,4.762791358,0,,,
-1.432094594,4.678599241,-1.15E-07,,,
-1.408662093,4.797465071,0,,,
1.178051919,-4.859247376,0,,,
1.09394744,-4.769252247,-1.15E-07,,,
1.209199856,-4.741297139,-1.15E-07,,,
1.293330671,-4.829824245,0,,,
1.324504944,-4.710405986,-1.15E-07,,,
1.408662093,-4.797465071,0,,,
1.125069042,-4.652770032,-2.35E-07,,,
1.240347794,-4.623346901,-2.34E-07,,,
1.156190644,-4.536287817,-3.58E-07,,,
-1.325223605,4.709928475,-1.16E-07,,,
-1.293330671,4.829824245,0,,,
-1.209918518,4.740819627,-1.16E-07,,,
-1.241785117,4.622391878,-2.35E-07,,,
-1.126506365,4.651815009,-2.35E-07,,,
-1.158346628,4.534855282,-3.59E-07,,,
-1.178051919,4.859247376,0,,,
-1.094666101,4.768774736,-1.16E-07,,,
-1.062825838,4.885734462,0,,,
1.52180717,-4.762791358,0,,,
1.431446678,-4.679079037,-1.15E-07,,,
1.544462184,-4.642956169,-1.15E-07,,,
1.634693105,-4.725219334,0,,,
1.657218548,-4.603934989,-1.15E-07,,,
1.747319899,-4.684748998,0,,,
1.454231263,-4.560693004,-2.34E-07,,,
1.567117198,-4.523120979,-2.33E-07,,,
1.477015848,-4.44230697,-3.56E-07,,,
-0.985805116,4.792415733,-1.16E-07,,,
-0.945371714,4.90980302,0,,,
-0.868536049,4.815012145,-1.16E-07,,,
-0.908784394,4.699097003,-2.36E-07,,,
-0.791700384,4.72022127,-2.36E-07,,,
-0.831763672,4.605778273,-3.60E-07,,,
-0.828287703,4.930927287,0,,,
-0.751637095,4.834664267,-1.16E-07,,,
-0.711573806,4.949107265,0,,,
1.857801108,-4.642051383,0,,,
1.761634578,-4.565065647,-1.14E-07,,,
1.871834229,-4.520952071,-1.14E-07,,,
1.967719201,-4.596521844,0,,,
1.981470763,-4.47400657,-1.14E-07,,,
2.077074177,-4.548160382,0,,,
1.775949257,-4.445382297,-2.33E-07,,,
1.885867349,-4.399852759,-2.32E-07,,,
1.790263936,-4.325698947,-3.54E-07,,,
-0.641348886,4.850487814,-1.16E-07,,,
-0.592590187,4.96474741,0,,,
-0.522710727,4.864666774,-1.16E-07,,,
-0.571123966,4.751868364,-2.37E-07,,,
-0.452831268,4.764586138,-2.37E-07,,,
-0.500899046,4.653248913,-3.61E-07,,,
-0.474297489,4.977465184,0,,,
-0.404763491,4.875923363,-1.17E-07,,,
-0.356695713,4.987260588,0,,,
2.184321099,-4.497643263,0,,,
2.082844473,-4.427855725,-1.14E-07,,,
2.189662845,-4.37596971,-1.13E-07,,,
2.290710922,-4.444388352,0,,,
2.295624118,-4.321345905,-1.13E-07,,,
2.396243645,-4.388395651,0,,,
2.088614769,-4.307551068,-2.31E-07,,,
2.195004591,-4.254296158,-2.31E-07,,,
2.094385065,-4.187246411,-3.52E-07,,,
-0.293650981,4.883849078,-1.17E-07,,,
-0.236784358,4.994376778,0,,,
-0.174246018,4.889530409,-1.17E-07,,,
-0.23060625,4.780437568,-2.37E-07,,,
-0.111707678,4.784684039,-2.37E-07,,,
-0.167561518,4.677026059,-3.61E-07,,,
-0.117885787,4.998623249,0,,,
-0.055853839,4.89234202,-1.17E-07,,,
0,5,0,,,
2.499702459,-4.330303561,0,,,
2.393416959,-4.268163234,-1.13E-07,,,
2.496306263,-4.208762638,-1.12E-07,,,
2.602022254,-4.269594459,0,,,
2.598056549,-4.146745029,-1.12E-07,,,
2.703203031,-4.206268343,0,,,
2.390590273,-4.147930817,-2.29E-07,,,
2.492910068,-4.087221715,-2.29E-07,,,
2.387763587,-4.027698401,-3.50E-07,,,
0.055494714,4.892320019,-1.17E-07,,,
0.117884855,4.998623271,0,,,
0.173885954,4.889508453,-1.17E-07,,,
0.110989429,4.784640039,-2.37E-07,,,
0.229887053,4.780393636,-2.37E-07,,,
0.166484143,4.676960058,-3.61E-07,,,
0.23678248,4.994376868,0,,,
0.293289963,4.883827213,-1.17E-07,,,
0.356692873,4.987260791,0,,,
2.802337854,-4.140885377,0,,,
2.691759023,-4.086773156,-1.12E-07,,,
2.790190422,-4.020154822,-1.12E-07,,,
2.900065827,-4.073031675,0,,,
2.88721497,-3.951065754,-1.11E-07,,,
2.99638695,-4.00270724,0,,,
2.680315016,-3.967277969,-2.27E-07,,,
2.778042989,-3.899424268,-2.27E-07,,,
2.668871009,-3.847782781,-3.47E-07,,,
0.404338482,4.875848214,-1.17E-07,,,
0.474296005,4.977465326,0,,,
0.522287083,4.864591531,-1.17E-07,,,
0.451984091,4.764435638,-2.37E-07,,,
0.570278162,4.751717735,-2.37E-07,,,
0.4996297,4.653023062,-3.61E-07,,,
0.592590076,4.964747423,0,,,
0.640926623,4.850412408,-1.17E-07,,,
0.711575084,4.949107081,0,,,
3.090684124,-3.930354781,0,,,
2.97635217,-3.884537561,-1.11E-07,,,
3.06982,-3.811034953,-1.11E-07,,,
3.183322609,-3.855702024,0,,,
3.161629141,-3.735232047,-1.10E-07,,,
3.274302405,-3.778748967,0,,,
2.956317391,-3.766367883,-2.26E-07,,,
3.048955876,-3.691715126,-2.25E-07,,,
2.936282611,-3.648198205,-3.44E-07,,,
0.75113183,4.834512771,-1.16E-07,,,
0.828290726,4.93092678,0,,,
0.868032533,4.814860281,-1.16E-07,,,
0.790688577,4.719918462,-2.37E-07,,,
0.90777434,4.698793782,-2.37E-07,,,
0.830245323,4.605324152,-3.61E-07,,,
0.94537649,4.9098021,0,,,
0.985303357,4.792263411,-1.16E-07,,,
1.062832374,4.885733041,0,,,
3.3632718,-3.699784833,0,,,
3.245757465,-3.662383435,-1.10E-07,,,
3.333780519,-3.582365751,-1.10E-07,,,
3.450348514,-3.618713599,0,,,
3.419910892,-3.500240968,-1.10E-07,,,
3.535532546,-3.535535266,0,,,
3.217212524,-3.546017904,-2.24E-07,,,
3.304289238,-3.46494667,-2.24E-07,,,
3.188667584,-3.429652372,-3.42E-07,,,
1.09409409,4.768524519,-1.16E-07,,,
1.17805759,4.859246001,0,,,
1.209345638,4.740569479,-1.16E-07,,,
1.125355805,4.651315997,-2.36E-07,,,
1.240633687,4.621892957,-2.36E-07,,,
1.156617521,4.534107476,-3.60E-07,,,
1.293335471,4.82982296,0,,,
1.324649852,4.709678438,-1.16E-07,,,
1.408666018,4.797463919,0,,,
3.618710943,-3.450351299,0,,,
3.498623249,-3.421436177,-1.09E-07,,,
3.580748098,-3.335305868,-1.09E-07,,,
3.699782244,-3.363274648,0,,,
3.66076585,-3.247282875,-1.09E-07,,,
3.778746448,-3.274305313,0,,,
3.461713953,-3.307337087,-2.23E-07,,,
3.542785253,-3.220260436,-2.22E-07,,,
3.424804656,-3.193237998,-3.40E-07,,,
1.431478397,4.678233027,-1.16E-07,,,
1.521810992,4.762790137,0,,,
1.544493798,4.642110092,-1.16E-07,,,
1.454290775,4.559002136,-2.36E-07,,,
1.567176604,4.521430047,-2.35E-07,,,
1.477103154,4.439771244,-3.59E-07,,,
1.63469682,4.725218049,0,,,
1.657250054,4.60308885,-1.16E-07,,,
1.747323504,4.684747653,0,,,
3.855699573,-3.183325577,0,,,
3.733675859,-3.163025162,-1.09E-07,,,
3.809478836,-3.07121608,-1.08E-07,,,
3.930352402,-3.09068715,0,,,
3.882981517,-2.977748307,-1.08E-07,,,
4.002704934,-2.99639003,0,,,
3.688605271,-3.051745011,-2.22E-07,,,
3.7632581,-2.959106583,-2.21E-07,,,
3.643534683,-2.94046486,-3.39E-07,,,
1.761617447,4.564114747,-1.15E-07,,,
1.857804682,4.642049953,0,,,
1.871817065,4.520001085,-1.15E-07,,,
1.775911391,4.443481841,-2.35E-07,,,
1.885829448,4.397952218,-2.34E-07,,,
1.790205334,4.322848936,-3.58E-07,,,
1.967722739,4.59652033,0,,,
1.981453563,4.473055501,-1.15E-07,,,
2.077077677,4.548158784,0,,,
4.073029443,-2.900068962,0,,,
3.949717481,-2.888570609,-1.08E-07,,,
4.018806624,-2.791546115,-1.08E-07,,,
4.140883219,-2.802341041,0,,,
4.085425034,-2.693114767,-1.07E-07,,,
4.206266263,-2.703206268,0,,,
3.896730029,-2.780751188,-2.20E-07,,,
3.964583805,-2.683023267,-2.20E-07,,,
3.843742576,-2.672931766,-3.37E-07,,,
2.396247023,4.388393807,0,,,
2.290714343,4.444386589,0,,,
2.29561737,4.320247121,-1.14E-07,,,
2.18965614,4.374871008,-1.14E-07,,,
2.184324562,4.497641581,0,,,
2.082837806,4.426757106,-1.15E-07,,,
2.194987718,4.252100435,-2.33E-07,,,
2.088597936,4.305355427,-2.33E-07,,,
2.094358065,4.183953748,-3.56E-07,,,
4.269592456,-2.60202554,0,,,
4.14562898,-2.599497241,-1.07E-07,,,
4.207646667,-2.497747003,-1.07E-07,,,
4.330301637,-2.499705792,0,,,
4.267047342,-2.394857744,-1.07E-07,,,
4.388393807,-2.396247023,0,,,
4.084991696,-2.495788215,-2.19E-07,,,
