x,y,w
-2.24048903,-0.087405665,-1.94E-07
-2.230360774,-0.203171633,-1.93E-07
-2.360733544,-0.131108498,-2.79E-07
-1.986696093,-0.229663824,0
-2.099988003,-0.275234768,-9.96E-08
-0.314990844,-2.096696691,-9.88E-08
-0.229662651,-1.98669623,0
-0.198291421,-2.110301108,-9.77E-08
-0.282685566,-2.223777835,-1.89E-07
-0.166920192,-2.233905986,-1.87E-07
-0.250380287,-2.35085898,-2.71E-07
-0.113897277,-1.996824381,0
-0.083460096,-2.116952993,-9.67E-08
0,-2,0
-1.969615547,0.347296122,0
-2.095482763,0.322463104,-1.01E-07
-1.98669623,0.229662651,0
-2.10908718,0.205763681,-1.00E-07
-2.221349978,0.297630086,-1.95E-07
-2.231478129,0.181864712,-1.92E-07
-2.347217194,0.272797068,-2.80E-07
-1.996824381,0.113897277,0
-2.115739065,0.090932356,-9.88E-08
0.052416127,-2.118128284,-9.67E-08
0.113897856,-1.996824349,0
0.16724804,-2.111476331,-9.64E-08
0.104832255,-2.236256569,-1.86E-07
0.220598223,-2.226128313,-1.85E-07
0.157248382,-2.354384853,-2.67E-07
0.229663824,-1.986696093,0
0.283948063,-2.097871773,-9.62E-08
0.347297904,-1.969615233,0
-1.879385389,0.684039883,0
-2.007357442,0.681180647,-1.04E-07
-1.916465723,0.571788383,0
-2.040935969,0.568930938,-1.02E-07
-2.135329496,0.678321412,-1.99E-07
-2.165406215,0.566073492,-1.96E-07
-2.26330155,0.675462177,-2.87E-07
-1.946542442,0.459540463,0
-2.067510881,0.456684807,-1.00E-07
0.411311202,-2.08182286,-1.01E-07
0.459542142,-1.946542046,0
0.523557225,-2.055247871,-1.01E-07
0.4753245,-2.194030487,-1.94E-07
0.587572309,-2.163953697,-1.94E-07
0.539337799,-2.306238114,-2.79E-07
0.57178995,-1.916465255,0
0.635806819,-2.02166928,-1.01E-07
0.684041329,-1.879384862,0
-1.732051097,0.9999995,0
-1.858782988,1.019721366,-1.07E-07
-1.787798394,0.896455309,0
-1.911212352,0.915289335,-1.05E-07
-1.985514879,1.039443233,-2.06E-07
-2.03462631,0.934123361,-2.03E-07
-2.112246771,1.0591651,-2.98E-07
-1.836909825,0.791135437,0
-1.957005849,0.809081622,-1.03E-07
0.777727369,-1.969652865,-1.01E-07
0.791136853,-1.836909215,0
0.883935049,-1.923859286,-1.02E-07
0.87141341,-2.059920868,-1.96E-07
0.976733244,-2.010809356,-1.97E-07
0.96509945,-2.150188871,-2.84E-07
0.896456687,-1.787797703,0
0.988367038,-1.871429842,-1.02E-07
1.000000832,-1.732050327,0
-1.532089341,1.285574678,0
-1.653433723,1.326944591,-1.09E-07
-1.604624847,1.193777377,0
-1.723028436,1.233450078,-1.08E-07
-1.774778106,1.368314505,-2.11E-07
-1.841432024,1.273122779,-2.08E-07
-1.896122488,1.409684418,-3.05E-07
-1.671278766,1.098585651,0
-1.78674156,1.136561139,-1.06E-07
1.109783183,-1.795376667,-9.87E-08
1.098586939,-1.671277919,0
1.206672073,-1.731663467,-9.93E-08
1.219565533,-1.858703007,-1.93E-07
1.314757208,-1.792049016,-1.94E-07
1.329347883,-1.922029348,-2.82E-07
1.193778614,-1.604623927,0
1.300166532,-1.662068684,-1.00E-07
1.285575857,-1.532088351,0
