X,Y,phi
0.202825882,2.106705383,1.25E-04
0.175989114,2.226714535,2.33E-04
0.113897277,1.996824381,0
0.087994557,2.113357268,1.24E-04
2.117199187,0.040829129,1.26E-04
2.234398373,0.081658257,2.35E-04
2.35159756,0.122487386,3.28E-04
1.996824349,0.113897856,0
2.110547233,0.155661041,1.25E-04
2.224270118,0.197424225,2.33E-04
1.986696093,0.229663824,0
2.096942675,0.272361064,1.23E-04
1.969615233,0.347297904,0
0.684039883,1.879385389,0
0.676196026,2.005169989,1.26E-04
0.668352169,2.130954589,2.35E-04
0.660508312,2.256739189,3.29E-04
0.571788383,1.916465723,0
0.563946316,2.038748516,1.24E-04
0.556104249,2.161031309,2.33E-04
0.459540463,1.946542442,0
0.451700186,2.065323428,1.23E-04
2.076189989,0.415272306,1.26E-04
2.182764745,0.483246709,2.36E-04
2.289339501,0.551221112,3.30E-04
1.946542046,0.459542142,0
2.049615,0.52751833,1.25E-04
2.152687955,0.595494518,2.35E-04
1.916465255,0.57178995,0
2.016036409,0.639767923,1.25E-04
1.879384862,0.684041329,0
0.9999995,1.732051097,0
1.025025215,1.857477855,1.33E-04
1.05005093,1.982904613,2.47E-04
1.075076644,2.108331371,3.45E-04
0.896455309,1.787798394,0
0.920593183,1.909907219,1.31E-04
0.944731057,2.032016043,2.44E-04
0.791135437,1.836909825,0
0.81438547,1.955700716,1.29E-04
1.732050327,1.000000832,0
1.811195451,1.098699423,1.30E-04
1.890340574,1.197398014,2.43E-04
1.969485698,1.296096604,3.41E-04
1.671277919,1.098586939,0
1.747482251,1.195588314,1.29E-04
1.823686583,1.292589688,2.42E-04
1.604623927,1.193778614,0
1.677887467,1.289082773,1.28E-04
1.532088351,1.285575857,0
1.973144022,0.767539959,1.27E-04
2.066903182,0.851038589,2.39E-04
2.160662342,0.934537219,3.34E-04
1.836909215,0.791136853,0
1.927350443,0.873747638,1.27E-04
2.01779167,0.956358423,2.37E-04
1.787797703,0.896456687,0
1.874920999,0.978179628,1.26E-04
1.285574678,1.532089341,0
1.327659159,1.652732084,1.32E-04
1.36974364,1.773374827,2.47E-04
1.411828121,1.89401757,3.45E-04
1.193777377,1.604624847,0
1.234164645,1.722326796,1.31E-04
1.274551914,1.840028745,2.44E-04
1.098585651,1.671278766,0
1.137275707,1.786039921,1.29E-04
1.593300978,1.397270728,1.31E-04
1.654513604,1.508965599,2.46E-04
1.71572623,1.62066047,3.44E-04
1.454700685,1.372530581,0
1.513521532,1.481833671,1.30E-04
1.57234238,1.59113676,2.44E-04
1.37252946,1.454701743,0
1.428958529,1.56161305,1.29E-04
-4.758184094,-4.74898412,7.31E-05
-4.838789396,-4.70919929,5.89E-05
-4.919394698,-4.66941446,3.46E-05
-5,-4.62962963,0
-4.838789396,-4.83265608,3.81E-05
-4.919394698,-4.79287125,2.42E-05
-5,-4.75308642,8.16E-22
-4.919394698,-4.91632804,1.37E-05
-5,-4.87654321,6.27E-21
-5,-5,0
-4.715332606,-4.83265608,5.99E-05
-4.795937908,-4.91632804,2.46E-05
-4.87654321,-5,-8.43E-22
-4.672481118,-4.91632804,3.55E-05
-4.75308642,-5,1.01E-20
-4.62962963,-5,0
-4.724296543,-4.442158125,1.39E-04
-4.816197695,-4.381191836,1.05E-04
-4.908098848,-4.320225548,5.86E-05
-5,-4.259259259,0
-4.816197695,-4.504648626,9.28E-05
-4.908098848,-4.443682338,5.25E-05
-5,-4.382716049,2.01E-21
-4.908098848,-4.567139128,4.63E-05
-5,-4.50617284,1.75E-20
-4.746888244,-4.646708788,9.71E-05
-4.735592393,-4.544433456,1.19E-04
-4.827493546,-4.606923958,7.68E-05
-4.651120829,-4.723700362,1.03E-04
-4.608269341,-4.807372322,8.43E-05
-4.565417853,-4.891044282,5.42E-05
-4.544057564,-4.698416604,1.32E-04
-4.501206076,-4.782088564,1.08E-04
-4.436994299,-4.673132846,1.60E-04
-4.639824979,-4.62142503,1.32E-04
-4.532761713,-4.596141272,1.67E-04
-4.628529128,-4.519149698,1.60E-04
-4.259259259,-5,0
-4.318504272,-4.891044282,6.87E-05
-4.377749286,-4.782088564,1.22E-04
-4.382716049,-5,0
-4.441961063,-4.891044282,6.15E-05
-4.50617284,-5,0
-4.712268757,-4.077191962,1.87E-04
-4.808179172,-4.014424271,1.36E-04
-4.904089586,-3.95165658,7.33E-05
-5,-3.888888889,0
-4.808179172,-4.137881061,1.28E-04
-4.904089586,-4.07511337,6.96E-05
-5,-4.012345679,2.11E-21
-4.904089586,-4.19857016,6.59E-05
-5,-4.135802469,2.38E-20
-4.812188433,-4.259536449,1.18E-04
-4.720287281,-4.320502737,1.57E-04
-4.716278019,-4.19884735,1.73E-04
-4.436366145,-4.267471794,2.77E-04
-4.528333683,-4.204045183,2.56E-04
-4.62030122,-4.140618573,2.26E-04
-4.532342944,-4.325700571,2.33E-04
-4.624310482,-4.26227396,2.08E-04
-4.628319743,-4.383929348,1.87E-04
-4.532552329,-4.460920921,2.03E-04
-4.436784914,-4.537912495,2.07E-04
-4.43657553,-4.402692145,2.46E-04
-4.170963043,-4.434007362,2.98E-04
-4.259430744,-4.378495506,2.98E-04
-4.347898445,-4.32298365,2.91E-04
-4.259640128,-4.513715856,2.52E-04
-4.348107829,-4.458204,2.52E-04
-4.348317214,-4.593424351,2.06E-04
-4.191237429,-4.90158762,6.78E-05
-4.123215598,-4.80317524,1.32E-04
-4.055193767,-4.70476286,1.93E-04
-4.250482442,-4.792631902,1.29E-04
-4.182460611,-4.694219522,1.86E-04
-4.309727455,-4.683676184,1.75E-04
-4.132373285,-4.524259194,2.70E-04
-4.22105037,-4.603967689,2.23E-04
-4.093783526,-4.614511027,2.35E-04
-3.999758808,-4.80317524,1.40E-04
-4.067780639,-4.90158762,7.15E-05
-4.135802469,-5,1.47E-21
-3.944323848,-4.90158762,7.53E-05
-4.012345679,-5,2.56E-20
-3.888888889,-5,0
-4.901812515,-3.828409818,7.80E-05
-4.805902101,-3.891177509,1.44E-04
-4.709991687,-3.9539452,1.99E-04
-4.803625031,-3.767930747,1.50E-04
-4.707714616,-3.830698438,2.09E-04
-4.705437546,-3.707451675,2.17E-04
-4.803625031,-3.644473956,1.55E-04
-4.901812515,-3.581496237,8.25E-05
-5,-3.518518519,0
-4.901812515,-3.704953028,8.02E-05
-5,-3.641975309,2.14E-21
-5,-3.765432099,2.76E-20
-4.40751231,-3.897922033,3.52E-04
-4.506820722,-3.834431914,3.16E-04
-4.606129134,-3.770941795,2.71E-04
-4.509097792,-3.957678676,3.01E-04
-4.608406204,-3.894188557,2.59E-04
-4.610683275,-4.017435319,2.46E-04
-4.518715738,-4.08086193,2.80E-04
-4.4267482,-4.14428854,3.05E-04
-4.417130255,-4.021105286,3.30E-04
-4.296422777,-3.96240129,3.84E-04
-4.306040722,-4.085584543,3.58E-04
-4.315658667,-4.208767797,3.28E-04
-4.185333243,-4.026880547,4.07E-04
-4.194951188,-4.1500638,3.76E-04
-4.07424371,-4.091359804,4.21E-04
-4.138723266,-4.319791509,3.43E-04
-4.106483488,-4.205575656,3.84E-04
-4.227190966,-4.264279653,3.39E-04
-4.068819551,-4.424167124,3.19E-04
-4.030229792,-4.514418957,2.89E-04
-3.991640033,-4.60467079,2.51E-04
-3.966676058,-4.414326887,3.39E-04
-3.928086299,-4.50457872,3.06E-04
-3.864532565,-4.404486649,3.58E-04
-4.036579773,-4.309951272,3.66E-04
-3.93443628,-4.300111034,3.87E-04
-4.004339995,-4.195735419,4.08E-04
-3.824005748,-4.900468719,7.91E-05
-3.759122607,-4.800937437,1.53E-04
-3.694239465,-4.701406156,2.20E-04
-3.879440707,-4.802056339,1.47E-04
-3.814557566,-4.702525057,2.13E-04
-3.934875667,-4.703643959,2.04E-04
-3.807768199,-4.503459818,3.20E-04
-3.871321933,-4.603551888,2.64E-04
-3.751003832,-4.602432987,2.74E-04
-3.635665816,-4.800937437,1.57E-04
-3.700548958,-4.900468719,8.13E-05
-3.765432099,-5,1.77E-21
-3.577092167,-4.900468719,8.36E-05
-3.641975309,-5,2.88E-20
-3.518518519,-5,0
-4.606901942,-3.646594727,2.80E-04
-4.50759353,-3.710084846,3.28E-04
-4.408285118,-3.773574965,3.67E-04
-4.508366338,-3.585737778,3.37E-04
-4.409057926,-3.649227898,3.80E-04
-4.409830734,-3.52488083,3.91E-04
-4.901661399,-3.457775882,8.44E-05
-4.803473915,-3.520753601,1.59E-04
-4.70528643,-3.58373132,2.24E-04
