X,Y,phi
10.27593654,10.2765788,3.99E-04
10.45014297,10.32142222,2.84E-04
10.6243494,10.36626564,1.51E-04
10.32099682,10.45056847,2.84E-04
10.49598956,10.4961982,1.51E-04
10.6709823,10.54182793,4.60E-21
10.3660571,10.62455815,1.51E-04
10.54183615,10.67097419,5.35E-20
10.41111737,10.79854782,0
4.015513363,3.286848413,2.04E-04
4.121870551,3.456246267,3.77E-04
4.228227738,3.625644121,5.18E-04
3.789959262,3.261324787,0
3.893644302,3.428466312,2.03E-04
3.997329341,3.595607836,3.75E-04
3.665418052,3.400686356,0
3.766430943,3.565571551,2.02E-04
3.535532546,3.535535266,0
9.893789837,10.64499849,3.99E-04
10.06623235,10.6961816,2.84E-04
10.23867486,10.74736471,1.51E-04
9.93245561,10.82052509,2.84E-04
10.10564031,10.87253653,1.51E-04
10.27882501,10.92454797,4.60E-21
9.971121383,10.99605168,1.51E-04
10.14504827,11.04889145,5.35E-20
10.00978716,11.17157827,0
3.614851864,3.718597117,2.00E-04
3.694171183,3.901658968,3.71E-04
3.773490502,4.084720819,5.13E-04
3.400683533,3.665420671,0
3.477746526,3.845810371,2.00E-04
3.554809519,4.026200071,3.70E-04
3.261321869,3.789961774,0
3.336128535,3.967679323,1.99E-04
3.117447551,3.909158575,0
9.49837529,10.99929145,3.99E-04
9.668845912,11.05672039,2.84E-04
9.839316534,11.11414933,1.51E-04
9.530616882,11.17609535,2.84E-04
9.701783562,11.23439247,1.51E-04
9.872950242,11.29268958,4.60E-21
9.562858473,11.35289925,1.51E-04
9.734721211,11.41206454,5.35E-20
9.595100065,11.52970315,0
3.181623855,4.10031655,2.04E-04
3.245800158,4.291474525,3.77E-04
3.309976462,4.4826325,5.18E-04
2.96858277,4.023356791,0
3.030976757,4.21149284,2.03E-04
3.093370745,4.39962889,3.74E-04
2.816153357,4.131511156,0
2.876765028,4.316625279,2.01E-04
2.660159311,4.233621669,0
9.090187251,11.33902132,3.99E-04
9.258491522,11.40258193,2.84E-04
9.426795794,11.46614254,1.51E-04
9.115995,11.51682876,2.84E-04
9.284947275,11.58129512,1.51E-04
9.45389955,11.64576148,4.60E-21
9.141802749,11.69463619,1.51E-04
9.311403027,11.7600083,5.35E-20
9.167610498,11.87244363,0
2.697794698,4.428802543,1.97E-04
2.735430084,4.623983416,3.65E-04
2.773065471,4.819164289,5.03E-04
2.499096229,4.330626649,0
2.535472884,4.522508893,1.96E-04
2.571849539,4.714391137,3.61E-04
2.335515683,4.42103437,0
2.370633606,4.609617984,1.94E-04
2.169417674,4.504844832,0
8.669797591,11.66372039,3.99E-04
8.835735227,11.7332948,2.84E-04
9.001672863,11.80286922,1.51E-04
