X,Y,W,,,
12.98094164,6.872260374,-5.04E-07,,,
12.89447807,7.03313787,-5.08E-07,,,
13.07513124,7.026705633,-2.42E-07,,,
13.16053784,6.865445867,-2.39E-07,,,
13.25578442,7.020273395,5.82E-24,,,
12.98761068,7.187200861,-2.44E-07,,,
13.16932084,7.181150892,-7.71E-23,,,
13.08074329,7.341263851,0,,,
12.54164786,7.342315175,-8.14E-07,,,
12.72134634,7.341964733,-5.17E-07,,,
12.6290647,7.499577362,-5.21E-07,,,
12.80979505,7.499665403,-2.48E-07,,,
12.90104481,7.341614292,-2.46E-07,,,
12.99052539,7.499753443,6.05E-24,,,
12.71648155,7.65683955,-2.50E-07,,,
12.89824376,7.657366072,-7.89E-23,,,
12.80389839,7.814101738,0,,,
12.26503474,7.795838448,-8.32E-07,,,
12.44465596,7.801926211,-5.29E-07,,,
12.34667963,7.956063255,-5.32E-07,,,
12.52730496,7.96264428,-2.53E-07,,,
12.62427717,7.808013975,-2.51E-07,,,
12.70793028,7.969225304,6.23E-24,,,
12.42832452,8.116288062,-2.55E-07,,,
12.60995396,8.123362348,-8.05E-23,,,
12.50996941,8.276512869,0,,,
4.968561247,0.559820625,0,,,
4.986170686,0.370938899,0,,,
5.11767907,0.52628985,-7.19E-08,,,
5.131723582,0.338545549,-4.66E-08,,,
4.99665027,0.184332024,0,,,
5.138638239,0.153076099,-2.13E-08,,,
5,0,0,,,
5.266796893,0.492759074,-1.32E-07,,,
5.277276477,0.306152199,-8.10E-08,,,
5.415914716,0.459228298,-1.79E-07,,,
11.97193143,8.238969577,-8.48E-07,,,
12.15127743,8.251484008,-5.39E-07,,,
12.04773723,8.401939695,-5.41E-07,,,
12.22805702,8.415000632,-2.57E-07,,,
12.33062342,8.263998438,-2.56E-07,,,
12.4083768,8.428061569,6.38E-24,,,
12.12354303,8.564909813,-2.59E-07,,,
12.3048366,8.578517257,-8.18E-23,,,
12.19934883,8.727879931,0,,,
4.874638199,1.112610638,0,,,
4.913212265,0.927319603,0,,,
5.032352766,1.06747876,-1.47E-07,,,
5.06729364,0.882701573,-1.21E-07,,,
4.944519948,0.743056265,0,,,
5.094968131,0.698952085,-9.51E-08,,,
5.190067333,1.022346882,-2.78E-07,,,
5.221375016,0.838083544,-2.27E-07,,,
5.3477819,0.977215003,-3.95E-07,,,
11.66283824,8.670979583,-8.61E-07,,,
11.8416751,8.689946366,-5.47E-07,,,
11.73270905,8.836520176,-5.50E-07,,,
11.9124869,8.856085078,-2.61E-07,,,
12.02051197,8.708913148,-2.60E-07,,,
12.09226474,8.87564998,6.50E-24,,,
11.80257987,9.002060769,-2.63E-07,,,
11.98329869,9.02222379,-8.30E-23,,,
11.87245069,9.167601362,0,,,
5.015230172,1.249671852,-2.01E-07,,,
4.830115296,1.292407467,0,,,
4.967098309,1.429368152,-2.28E-07,,,
5.155822145,1.386733067,-4.42E-07,,,
5.104081321,1.566328837,-4.96E-07,,,
5.296414118,1.523794281,-7.22E-07,,,
4.778374472,1.472003238,0,,,
4.911748525,1.608863394,-2.56E-07,,,
4.719415728,1.65139795,0,,,
11.33824737,9.091226034,-8.72E-07,,,
11.51631514,9.116684477,-5.54E-07,,,
11.40206843,9.259181087,-5.56E-07,,,
11.58104195,9.285287532,-2.65E-07,,,
11.69438291,9.142142919,-2.64E-07,,,
11.76001547,9.311393977,6.58E-24,,,
11.46588948,9.427136139,-2.66E-07,,,
11.64576875,9.453890587,-8.40E-23,,,
11.52971053,9.595091192,0,,,
4.850667502,1.788676924,-2.84E-07,,,
4.654883686,1.825462039,0,,,
4.782639387,1.962046167,-3.06E-07,,,
4.981919276,1.925955899,-6.06E-07,,,
4.910395087,2.098630295,-6.49E-07,,,
5.11317105,2.063234873,-9.65E-07,,,
4.583359498,1.998136436,0,,,
4.707619125,2.134025718,-3.28E-07,,,
4.504843162,2.169421141,0,,,
