X,Y,  delN
13.5817249,6.366847627,0
13.04382865,6.406727346,1.54E+17
13.2231274,6.393434106,1.10E+17
13.40242615,6.380140866,5.85E+16
13.14259711,6.557362017,1.10E+17
13.32297528,6.544393509,5.85E+16
13.50335344,6.531425001,1.781747952
13.24136557,6.707996689,5.85E+16
13.42282315,6.695352912,20.65782665
13.34013403,6.858631361,0
12.80134545,6.87907488,1.54E+17
12.98094164,6.872260374,1.10E+17
13.16053784,6.865445867,5.85E+16
12.89447807,7.03313787,1.10E+17
13.07513124,7.026705633,5.85E+16
13.25578442,7.020273395,1.780777681
12.98761068,7.187200861,5.85E+16
13.16932084,7.181150892,20.66018302
13.08074329,7.341263851,0
12.54164786,7.342315175,1.54E+17
12.72134634,7.341964733,1.10E+17
12.90104481,7.341614292,5.85E+16
12.6290647,7.499577362,1.10E+17
12.80979505,7.499665403,5.85E+16
12.99052539,7.499753443,1.779942114
12.71648155,7.65683955,5.85E+16
12.89824376,7.657366072,20.6610778
12.80389839,7.814101738,0
12.26503474,7.795838448,1.54E+17
12.44465596,7.801926211,1.10E+17
12.62427717,7.808013975,5.85E+16
12.34667963,7.956063255,1.10E+17
12.52730496,7.96264428,5.85E+16
12.70793028,7.969225304,1.779477778
12.42832452,8.116288062,5.85E+16
12.60995396,8.123362348,20.66304599
12.50996941,8.276512869,0
4.968561247,0.559820625,0
4.986170686,0.370938899,0
4.99665027,0.184332024,0
5,0,0
5.11767907,0.52628985,3.43E+16
5.131723582,0.338545549,2.50E+16
5.138638239,0.153076099,1.57E+16
5.266796893,0.492759074,5.98E+16
5.277276477,0.306152199,4.11E+16
5.415914716,0.459228298,7.64E+16
11.97193143,8.238969577,1.54E+17
12.15127743,8.251484008,1.10E+17
12.33062342,8.263998438,5.85E+16
12.04773723,8.401939695,1.10E+17
12.22805702,8.415000632,5.85E+16
12.4083768,8.428061569,1.779302679
12.12354303,8.564909813,5.85E+16
12.3048366,8.578517257,20.66608942
12.19934883,8.727879931,0
4.874638199,1.112610638,0
4.913212265,0.927319603,0
4.944519948,0.743056265,0
5.032352766,1.06747876,4.90E+16
5.06729364,0.882701573,4.49E+16
5.094968131,0.698952085,4.08E+16
5.190067333,1.022346882,8.89E+16
5.221375016,0.838083544,8.07E+16
5.3477819,0.977215003,1.20E+17
11.66283824,8.670979583,1.54E+17
11.8416751,8.689946366,1.10E+17
12.02051197,8.708913148,5.85E+16
11.73270905,8.836520176,1.10E+17
11.9124869,8.856085078,5.85E+16
